,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SCREEN,,,,REPORT,,,,,DATA LAST UPDATED,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unsaved,,,,Unsaved Screening Default,,,,,Asia                Europe            Americas,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4/26/16            4/26/16            4/26/16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,Symbol,Country,Market Capitalization (bil) [USD],Price Return - Absolute 01 Week,Price Return - Absolute 02 Weeks,Price Return - Absolute 04 Weeks,Price Return - Absolute 13 Weeks,Price Return - Absolute 26 Weeks,Price Return - Absolute 3 Weeks,Price Return - Absolute 39 Weeks,Price Return - Absolute 52 Weeks,Price Return - Absolute Year to Date,"Price, Current [Local]",Warranted Default Price [Local],"Price, % 52 week High","Price, % Change to 26 Week High","Price, % Change to 26 Week Low","Price, % Change to 52 Week High","Price, % Change to 52 Week Low",Price / Earnings Ratio - FY1,Price / Earnings Ratio - FY2,Price / Earnings Ratio - LFY,Country (Domicile),Exchange Code,Industry Code - GICS Group,Industry Code - GICS Industry,Industry Code - GICS Sector,Industry Code - GICS Sub-Industry,Earnings Per Share - FY1 [Local],Earnings Per Share - FY2 [Local],Daily Volume Average (K shares),Price Return 2 Weeks Ago to 3 Weeks Ago,"Price, 52 Week High [Local]","Price, 52 Week Low [Local]",Price - Annual Closing [Local]
,CISCO SYSTEMS INC,CSCO,USA,143.729,0.90,1.66,0.7,20.5,-4.1,-1.88,-0.9,-2.32,5,28.45,39.51,3.72,1,20,4,20,12.37,11.90,15.43,USA,Not Available,Technology Hardware & Equipment,Communications Equipment,Information Technology,Communications Equipment,NA,NA,25938,-3.5,29.55,22.89,27.16
,CITIGROUP INC,C,USA,139.099,4.56,16.06,12.0,14.4,-12.4,10.60,-20.0,-11.21,-11,47.10,68.51,19.83,19,20,25,20,10.03,8.56,9.53,USA,Not Available,Banks,Banks,Financials,Diversified Banks,NA,NA,23748,-4.7,58.75,37.54,51.75
,UNITEDHEALTH GROUP INC,UNH,USA,127.931,5.34,6.72,4.3,17.3,15.7,3.24,13.7,13.01,14,134.24,182.56,0.00,0,19,0,19,17.04,15.04,19.29,USA,Not Available,Health Care Equipment & Services,Health Care Providers & Services,Health Care,Managed Health Care,NA,NA,3374,-3.3,134.24,109.27,117.64
,AMGEN INC,AMGN,USA,122.789,1.91,4.30,9.3,4.6,4.8,5.86,2.9,-2.81,0,162.85,219.20,7.78,0,11,8,15,15.08,13.60,17.74,USA,Not Available,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Health Care,Biotechnology,NA,NA,3586,1.5,176.59,138.53,162.33
,ALTRIA GROUP INC,MO,USA,120.250,-1.88,-5.14,-0.6,3.8,-0.9,-4.03,12.5,16.23,5,61.35,40.56,3.84,4,8,4,22,20.11,18.53,21.80,USA,Not Available,"Food, Beverage & Tobacco",Tobacco,Consumer Staples,Tobacco,NA,NA,6286,1.2,63.80,48.04,58.21
,BRISTOL-MYERS SQUIBB CO,BMY,USA,118.265,3.86,6.98,13.1,9.8,8.5,8.89,7.1,7.42,4,70.86,73.58,0.00,0,16,0,19,29.65,22.71,73.18,USA,Not Available,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Health Care,Pharmaceuticals,NA,NA,6382,1.8,70.86,57.30,68.79
,MCDONALD'S CORP,MCD,USA,115.807,-1.78,-1.92,1.8,6.0,11.5,-1.20,30.6,27.10,7,127.71,87.49,0.20,0,14,0,26,23.01,20.57,24.51,USA,Not Available,Consumer Services,"Hotels, Restaurants & Leisure",Consumer Discretionary,Restaurants,NA,NA,6715,0.7,127.96,94.85,118.14
,CVS HEALTH CORP,CVS,USA,113.238,-0.78,-0.03,0.0,6.1,-2.4,-3.22,-8.2,-0.14,3,102.85,106.35,8.55,2,11,9,11,17.67,15.65,21.03,USA,Not Available,Food & Staples Retailing,Food & Staples Retailing,Consumer Staples,Drug Retail,NA,NA,4457,-3.2,112.47,91.81,97.77
,MEDTRONIC PLC,MDT,USA,110.290,2.45,3.43,6.8,4.0,7.2,4.80,3.9,1.78,2,78.72,61.01,0.34,0,7,0,15,18.01,16.78,29.59,USA,Not Available,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care,Health Care Equipment,NA,NA,5403,1.3,78.99,66.53,72.20
,MASTERCARD INC,MA,USA,108.553,0.80,3.90,6.0,10.7,-2.3,1.65,1.7,7.42,-1,97.27,77.96,4.17,4,15,4,15,27.76,23.55,28.98,USA,Not Available,Software & Services,IT Services,Information Technology,Data Processing & Outsourced Services,NA,NA,4495,-2.2,101.50,82.76,97.36
,3M CO,MMM,USA,101.258,-0.07,1.22,2.6,20.9,8.3,0.67,12.9,6.08,12,166.18,142.10,1.54,2,17,2,17,20.14,18.46,19.51,USA,Not Available,Capital Goods,Industrial Conglomerates,Industrials,Industrial Conglomerates,NA,NA,2267,-0.5,168.78,138.69,150.64
,NIKE INC,NKE,USA,100.325,-0.12,0.02,-3.6,-2.4,-8.9,-3.51,5.2,17.74,-6,59.54,54.13,11.35,13,5,13,15,27.69,24.30,25.30,USA,Not Available,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Consumer Discretionary,Footwear,NA,NA,9749,-3.5,67.17,50.39,48.08
,SCHLUMBERGER LTD,SLB,USA,99.504,4.81,8.23,10.1,22.6,2.0,10.83,-3.6,-12.75,14,79.20,45.39,14.84,1,20,17,20,60.69,36.92,42.79,USA,Not Available,Energy,Energy Equipment & Services,Energy,Oil & Gas Equipment & Services,NA,NA,9220,2.4,93.00,63.01,69.75
,ABBVIE INC,ABBV,USA,98.091,3.21,5.05,9.4,4.4,22.0,6.97,-9.8,-7.04,7,60.93,78.79,13.53,5,14,16,17,12.21,10.29,18.81,USA,NA,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Health Care,Biotechnology,NA,NA,7304,1.8,70.46,50.34,59.24
,KRAFT HEINZ CO,KHC,USA,95.540,0.06,-0.47,2.1,5.0,0.2,-1.24,2.2,NA,6,78.70,24.89,0.97,0,12,1,12,26.72,20.71,-214.00,USA,Not Available,"Food, Beverage & Tobacco",Food Products,Consumer Staples,Packaged Foods & Meats,NA,NA,3632,-0.8,79.47,69.20,72.76
,UNITED PARCEL SERVICE INC,UPS,USA,94.120,-0.02,1.16,0.1,17.4,-1.2,0.54,11.4,7.56,9,106.23,95.52,0.53,0,15,1,15,18.35,16.96,17.89,USA,Not Available,Transportation,Air Freight & Logistics,Industrials,Air Freight & Logistics,NA,NA,2878,-0.6,106.80,89.90,96.23
,ROYAL BANK OF CANADA,RY,USA,91.754,1.39,6.32,9.7,25.1,7.9,6.21,7.4,-7.46,14,61.67,51.36,6.57,0,25,7,25,11.58,11.05,10.98,CAN,Not Available,Banks,Banks,Financials,Diversified Banks,NA,NA,1405,-0.1,66.01,46.11,53.58
,ROYAL BANK OF CANADA,RY.,CAN,91.357,0.05,3.70,4.9,11.9,3.6,3.30,4.0,-3.72,3,77.81,76.97,3.22,0,14,3,14,11.53,11.00,10.99,CAN,Not Available,Banks,Banks,Financials,Diversified Banks,NA,NA,2832,-0.4,80.40,67.05,74.15
,BOEING CO,BA,USA,88.821,-0.06,2.48,-0.8,5.2,-10.7,3.22,-9.0,-11.69,-8,133.24,166.85,10.82,12,18,12,18,15.68,14.10,19.23,USA,Not Available,Capital Goods,Aerospace & Defense,Industrials,Aerospace & Defense,NA,NA,5981,0.7,149.40,108.63,144.59
,HONEYWELL INTERNATIONAL INC,HON,USA,88.442,-0.40,1.83,2.6,16.7,10.7,0.83,11.1,11.39,10,114.80,127.56,0.00,0,15,0,19,17.26,15.82,16.95,USA,Not Available,Capital Goods,Aerospace & Defense,Industrials,Aerospace & Defense,NA,NA,3821,-1.0,114.80,93.52,103.57
,UNITED TECHNOLOGIES CORP,UTX,USA,87.858,1.08,4.32,6.7,22.4,5.0,5.73,6.4,-9.00,10,104.80,98.27,11.65,1,18,13,18,16.12,15.03,20.98,USA,Not Available,Capital Goods,Aerospace & Defense,Industrials,Aerospace & Defense,NA,NA,5921,1.4,118.62,85.63,96.07
,WALGREENS BOOTS ALLIANCE INC,WBA,USA,87.787,-1.60,-1.51,-2.7,-0.9,-10.9,-7.57,-15.7,-6.79,-7,81.31,96.69,15.85,7,8,19,8,18.11,16.01,21.03,USA,Not Available,Food & Staples Retailing,Food & Staples Retailing,Consumer Staples,Drug Retail,NA,NA,4067,-6.1,96.63,75.20,85.15
,ALLERGAN PLC,AGN,USA,86.766,5.52,-2.91,-18.0,-23.1,-14.7,-14.53,-25.7,-22.43,-26,219.94,350.20,33.58,45,1,51,1,15.62,12.75,-37.03,USA,Not Available,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Health Care,Pharmaceuticals,NA,NA,4480,-12.0,331.15,217.16,312.50
,STARBUCKS CORP,SBUX,USA,85.749,-4.68,-5.50,-1.2,-2.5,-7.9,-5.47,0.7,11.27,-4,57.72,52.43,7.81,8,6,8,14,30.54,26.36,32.62,USA,Not Available,Consumer Services,"Hotels, Restaurants & Leisure",Consumer Discretionary,Restaurants,NA,NA,9399,0.0,62.61,49.78,60.03
,CELGENE CORP,CELG,USA,84.599,2.96,4.01,9.9,1.6,-8.0,9.22,-18.1,-6.90,-10,107.55,351.01,20.27,14,9,25,9,18.92,14.94,59.29,USA,Not Available,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Health Care,Biotechnology,NA,NA,5680,5.0,134.90,97.89,119.76
,TORONTO DOMINION BANK,TD,USA,81.506,2.54,5.72,6.2,21.5,7.4,2.90,11.7,-3.82,14,44.05,36.62,4.34,1,23,5,23,11.75,11.10,12.84,CAN,Not Available,Banks,Banks,Financials,Diversified Banks,NA,NA,1684,-2.7,46.05,34.04,39.17
,TORONTO DOMINION BANK,TD.,CAN,81.140,1.17,3.16,1.6,8.7,3.3,0.16,8.3,0.11,2,55.57,53.99,1.10,1,11,1,11,11.70,11.05,12.85,CAN,Not Available,Banks,Banks,Financials,Diversified Banks,NA,NA,2966,-2.9,56.19,49.45,54.24
,LILLY (ELI) & CO,LLY,USA,80.485,3.05,4.62,9.4,-5.6,-0.6,6.01,-8.1,8.73,-9,76.27,85.87,13.81,14,7,16,7,21.55,19.16,37.12,USA,Not Available,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Health Care,Pharmaceuticals,NA,NA,4710,1.3,88.49,70.95,84.26
,QUALCOMM INC,QCOM,USA,77.619,3.09,4.11,3.5,9.5,-13.3,3.46,-14.6,-22.86,7,52.91,88.12,25.54,12,17,34,17,12.97,11.50,15.33,USA,Not Available,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,Semiconductors,NA,NA,11478,-0.6,71.06,44.02,49.99
,U S BANCORP,USB,USA,75.689,5.35,9.95,6.2,10.0,1.6,6.39,-4.4,1.31,1,43.37,34.33,5.41,2,10,6,10,13.14,12.21,13.42,USA,Not Available,Banks,Banks,Financials,Diversified Banks,NA,NA,7697,-3.2,45.85,39.05,42.67
,UNION PACIFIC CORP,UNP,USA,74.642,10.37,13.21,10.8,28.1,-7.5,13.57,-3.2,-16.63,14,88.76,108.77,17.59,1,21,21,21,16.97,15.17,14.19,USA,Not Available,Transportation,Road & Rail,Industrials,Railroads,NA,NA,5388,0.3,107.71,69.99,78.20
,GOLDMAN SACHS GROUP INC,GS,USA,73.235,5.19,10.96,9.0,6.3,-10.1,4.34,-19.6,-15.78,-8,165.84,204.67,22.21,20,12,29,12,11.45,9.48,14.59,USA,Not Available,Diversified Financials,Capital Markets,Financials,Investment Banking & Brokerage,NA,NA,4538,-6.0,213.19,146.13,180.23
,ACCENTURE PLC,ACN,USA,71.500,-0.76,0.99,-0.3,11.5,5.5,-2.06,12.6,22.00,10,114.61,115.98,1.50,2,17,2,19,21.54,19.69,21.46,USA,Not Available,Software & Services,IT Services,Information Technology,IT Consulting & Other Services,NA,NA,3030,-3.0,116.35,93.36,104.50
,LOCKHEED MARTIN CORP,LMT,USA,70.344,0.45,0.23,4.1,7.0,3.4,1.67,12.8,16.10,5,232.16,149.91,0.00,0,11,0,19,19.67,16.95,18.69,USA,Not Available,Capital Goods,Aerospace & Defense,Industrials,Aerospace & Defense,NA,NA,1329,1.4,232.16,187.30,217.15
,LOWE'S COMPANIES INC,LOW,USA,69.451,-1.63,1.36,1.7,7.9,3.4,-0.59,13.2,3.95,0,76.32,66.74,1.32,1,15,1,15,19.08,16.29,27.85,USA,Not Available,Retailing,Specialty Retail,Consumer Discretionary,Home Improvement Retail,NA,NA,5143,-1.9,77.34,64.87,76.04
,REYNOLDS AMERICAN INC,RAI,USA,68.955,-1.87,-6.11,-3.8,3.3,-2.2,-4.97,20.3,25.44,4,48.31,37.54,6.58,7,8,7,25,20.56,18.44,17.96,USA,Not Available,"Food, Beverage & Tobacco",Tobacco,Consumer Staples,Tobacco,NA,NA,4969,1.2,51.71,36.00,46.15
,AMERICAN INTERNATIONAL GROUP,AIG,USA,67.516,2.26,5.70,6.1,-0.3,-8.3,2.37,-11.7,-1.40,-8,56.55,74.68,11.98,13,10,14,10,11.91,9.75,36.67,USA,Not Available,Insurance,Insurance,Financials,Multi-line Insurance,NA,NA,8677,-3.2,64.25,51.09,61.97
